name,time,speed
30.0_1,2.5,24.0
30.0_5,2.5,14.4
56.0_10,4.666666666666667,24.0
228.0_34,19.0,24.0
253.0_36,21.083333333333332,27.0
254.0_47,21.166666666666668,30.857
259.0_48,21.583333333333332,216.0
337.0_63,28.083333333333332,24.0
430.0_80,35.833333333333336,30.857
472.0_91,39.333333333333336,27.0
704.0_117,58.666666666666664,16.615
768.0_128,64.0,19.636
966.0_136,80.5,216.0
1032.0_142,86.0,27.0
1862.0_186,155.16666666666666,216.0
1892.0_208,157.66666666666666,27.0
2010.0_223,167.5,13.5
2061.0_224,171.75,13.5
2107.0_232,175.58333333333334,19.636
2140.0_237,178.33333333333334,15.429
2140.0_238,178.33333333333334,15.429
